latitude,longitude,area_in_meters,confidence,geometry,full_plus_code
1.34395266,103.68633266,370.2931,0.6993,"POLYGON((103.686542328943 1.34396838818174, 103.686122086446 1.34400858120984, 103.686116675711 1.34395127548556, 103.686156947307 1.3439474238134, 103.686155554205 1.34393266930837, 103.68653552509 1.34389632793801, 103.686542328943 1.34396838818174))",6PH58MVP+HGP4
1.33905298,103.69215042,265.7769,0.861,"POLYGON((103.692256471004 1.33903786368619, 103.692199968516 1.33914737428374, 103.692040652675 1.33906410895245, 103.692067934536 1.33901123247808, 103.692076976627 1.33901595826523, 103.692106197254 1.33895932414965, 103.692256471004 1.33903786368619))",6PH58MQR+JVC5
1.35224494,103.69847298,230.3649,0.8445,"POLYGON((103.698565762501 1.3522747361099, 103.698464209895 1.35234256030002, 103.698380203692 1.35221514931745, 103.698481756288 1.35214732512781, 103.698565762501 1.3522747361099))",6PH59M2X+V9XJ
1.35085054,103.68917042,278.0192,0.6835,"POLYGON((103.689256031122 1.35079284889593, 103.689279003852 1.35079464615939, 103.68927619013 1.35083107720223, 103.689241515475 1.35082836444213, 103.689146181897 1.35092383199089, 103.689141160198 1.35098885102951, 103.689078641064 1.3509839598585, 103.689088391005 1.35085772140141, 103.689128598617 1.35086086703327, 103.689131676565 1.35082101491958, 103.68915398808 1.35082276045386, 103.689157583901 1.35077620309773, 103.689177044819 1.35077772561654, 103.689180702302 1.35073036986989, 103.689260375225 1.35073660305279, 103.689256031122 1.35079284889593))",6PH59M2Q+8MV3
1.33831389,103.69153464,218.8062,0.8116,"POLYGON((103.69163577324 1.33824529057559, 103.691526113668 1.33837891883433, 103.691550963282 1.33839957558301, 103.691524296009 1.33843207161489, 103.69145385856 1.33837351904551, 103.691465143177 1.33835976791057, 103.691446247267 1.33834406029887, 103.691539280791 1.33823069210781, 103.691558176699 1.33824639971548, 103.691590185397 1.33820739475498, 103.69163577324 1.33824529057559))",6PH58MQR+8JFC
1.34696736,103.67885074,36.6207,0.7376,"POLYGON((103.678877277587 1.34693944288986, 103.678879689625 1.34699273013755, 103.678824207662 1.34699527405696, 103.678821795626 1.34694198681041, 103.678877277587 1.34693944288986))",6PH58MWH+QGQJ
1.33803304,103.69141371,27.9606,0.7664,"POLYGON((103.691449403007 1.3380385000284, 103.691427096012 1.33806677038336, 103.691378028736 1.33802755143468, 103.691400335731 1.33799928108058, 103.691449403007 1.3380385000284))",6PH58MQR+6H76
1.35511725,103.68582386,78.8871,0.7856,"POLYGON((103.685850979339 1.35505503945518, 103.685845806605 1.35518513038332, 103.685803890108 1.35518344209645, 103.685804906201 1.35515788804587, 103.685796116631 1.35515753402476, 103.685800273275 1.3550529971488, 103.685850979339 1.35505503945518))",6PH59M4P+28WM
1.34531254,103.68639104,76.8753,0.7992,"POLYGON((103.686373088774 1.34525711962656, 103.686380391974 1.34528353794827, 103.686419871367 1.34527248266044, 103.686439955547 1.34534513441257, 103.686371162402 1.34536439833332, 103.686343775025 1.34526532826119, 103.686373088774 1.34525711962656))",6PH58MWP+4HCG
1.34380104,103.69702601,18.6369,0.6652,"POLYGON((103.697047354513 1.3437837976785, 103.697043660743 1.34382208307939, 103.697004647399 1.34381827029732, 103.697008341169 1.3437799848971, 103.697047354513 1.3437837976785))",6PH58MVW+GRC5
1.35365497,103.69471079,101.3212,0.6875,"POLYGON((103.694767101521 1.35368517003331, 103.694686504602 1.3537147408338, 103.694654709385 1.35362695878739, 103.694677130131 1.35361873267341, 103.694676131356 1.3536159751978, 103.694734307524 1.35359463050996, 103.694767101521 1.35368517003331))",6PH59M3V+FV84
1.33853919,103.68451636,178.1464,0.8572,"POLYGON((103.684618401445 1.33853884578675, 103.684442526155 1.33861006752676, 103.684414331425 1.3385395407218, 103.684590206707 1.33846831897924, 103.684618401445 1.33853884578675))",6PH58MQM+CR6G
1.35114133,103.68635838,11.7455,0.6505,"POLYGON((103.686376558608 1.35112903207061, 103.686367133085 1.35116153615832, 103.686340194144 1.35115362322596, 103.686349619667 1.35112111913874, 103.686376558608 1.35112903207061))",6PH59M2P+FG5M
1.3451897,103.69328325,106.683,0.8147,"POLYGON((103.693301453099 1.34510655463013, 103.693318168253 1.34526723184917, 103.693265036483 1.34527283073714, 103.693248321334 1.34511215352087, 103.693301453099 1.34510655463013))",6PH58MWV+38FC
1.33843714,103.69764592,316.1935,0.8384,"POLYGON((103.697771162066 1.33840923179709, 103.697746953834 1.33851303160969, 103.697626814566 1.33848464944157, 103.697620902313 1.33850999993279, 103.69755325472 1.33849401859815, 103.697566507013 1.33843719557135, 103.697524516583 1.3384272755864, 103.697541384781 1.33835494831913, 103.697771162066 1.33840923179709))",6PH58MQX+93CG
1.35016664,103.67868718,840.0354,0.7757,"POLYGON((103.6788179 1.3500448, 103.6788094 1.3503549, 103.6787036 1.3503519, 103.6787045 1.3503193, 103.6786294 1.3503172, 103.6786334 1.35017, 103.6786103 1.3501693, 103.6786122 1.3500997, 103.6784264 1.3500946, 103.6784281 1.350034, 103.6788179 1.3500448))",6PH59M2H+3F7Q
1.34685488,103.68207723,86.8201,0.8703,"POLYGON((103.682173505607 1.34683771669563, 103.682173083579 1.34687426952111, 103.681980956194 1.34687202253104, 103.681981378223 1.34683546970837, 103.682173505607 1.34683771669563))",6PH58MWJ+PRW3
1.34935371,103.69831275,275.1346,0.8028,"POLYGON((103.698206358936 1.3493084750058, 103.698409504767 1.34929023428979, 103.698419140558 1.34939893775523, 103.698215994717 1.34941717846305, 103.698206358936 1.3493084750058))",6PH58MXX+P8W2
1.34775391,103.68332648,264.0638,0.9021,"POLYGON((103.683446626278 1.34774684302661, 103.683410543807 1.3477491022339, 103.683413011089 1.34778901848764, 103.683327069836 1.34779439946527, 103.683329126001 1.34782766458223, 103.683254214273 1.34783235497247, 103.68325215811 1.34779908985644, 103.683221809608 1.34780099004355, 103.683215758737 1.34770309756624, 103.683246107239 1.347701197378, 103.683248437544 1.34773889761611, 103.68330203507 1.34773554175353, 103.683299704764 1.34769784151487, 103.68344304268 1.34768886679518, 103.683446626278 1.34774684302661))",6PH58MXM+4843
1.34337025,103.69707939,29.4852,0.7417,"POLYGON((103.697116990445 1.34338219223409, 103.697046018888 1.34339137360042, 103.697041796268 1.34335830990886, 103.697112767824 1.34334912854194, 103.697116990445 1.34338219223409))",6PH58MVW+8RWW
1.34808306,103.6868974,217.6162,0.7494,"POLYGON((103.68687605324 1.34811999548688, 103.686882490844 1.34813904089355, 103.686794425251 1.34816919390835, 103.686774151521 1.34810921483744, 103.686832712846 1.3480891638672, 103.686824254248 1.34806413942304, 103.687001709826 1.3480033799121, 103.687024004561 1.34806933802417, 103.68687605324 1.34811999548688))",6PH58MXP+6QJ8
1.35205009,103.69825539,44.2796,0.7434,"POLYGON((103.698295572931 1.35202816180689, 103.698294991093 1.35207305841323, 103.698215216309 1.35207201117907, 103.698215798147 1.35202711457427, 103.698295572931 1.35202816180689))",6PH59M2X+R8C2
1.34408062,103.69052521,19.1089,0.8346,"POLYGON((103.690547128172 1.34406207260147, 103.690550135709 1.34409478804767, 103.690503283675 1.34409915098044, 103.690500276139 1.3440664355348, 103.690547128172 1.34406207260147))",6PH58MVR+J6J9
1.35260926,103.68752958,105.1782,0.7424,"POLYGON((103.687596746023 1.35262355984316, 103.68754654233 1.35267621502212, 103.687462413236 1.35259496383832, 103.687512616927 1.3525423086606, 103.687596746023 1.35262355984316))",6PH59M3Q+22R9
1.34240828,103.68771594,6.2505,0.6878,"POLYGON((103.687748066375 1.34240851909276, 103.687684697918 1.34241585237334, 103.687683798175 1.3424079767341, 103.687747166633 1.34240064345368, 103.687748066375 1.34240851909276))",6PH58MRQ+X389
1.35341478,103.683006,51.534,0.6571,"POLYGON((103.683042922947 1.35344230276918, 103.682974453751 1.35344771041584, 103.682968955139 1.35338772888635, 103.683037337948 1.35338137892183, 103.683042922947 1.35344230276918))",6PH59M3M+966C
1.35413842,103.6876721,328.888,0.7392,"POLYGON((103.687814876212 1.35416154213991, 103.687708378904 1.3541553963278, 103.687705273054 1.35420991282885, 103.687549274256 1.35420091034275, 103.687555842258 1.35408562334588, 103.687676729768 1.35409259960046, 103.687677559903 1.35407802835771, 103.687819168488 1.35408620038969, 103.687814876212 1.35416154213991))",6PH59M3Q+M33G
1.33918926,103.68483587,122.4777,0.8953,"POLYGON((103.684899800411 1.33921838751371, 103.684808664688 1.33925436009945, 103.684771947249 1.33916013141413, 103.684863082966 1.33912415882681, 103.684899800411 1.33921838751371))",6PH58MQM+MWGG
1.34394163,103.67624023,138.4155,0.7432,"POLYGON((103.676317350121 1.34390585052288, 103.676316729622 1.34397873783346, 103.67616310911 1.34397741308634, 103.676163729613 1.34390452578157, 103.676317350121 1.34390585052288))",6PH58MVG+HFHP
1.33971201,103.69131529,44.298,0.7225,"POLYGON((103.691356075994 1.33970111513176, 103.691325896434 1.3397531135902, 103.691274510992 1.33972290321575, 103.691304690552 1.33967090475864, 103.691356075994 1.33970111513176))",6PH58MQR+VGPC
1.3426623,103.68828646,499.0841,0.928,"POLYGON((103.6883732 1.3428008, 103.6882387 1.3428188, 103.6881997 1.3425238, 103.6883342 1.3425058, 103.6883732 1.3428008))",6PH58MVQ+387C
1.34870012,103.67993658,363.9246,0.9056,"POLYGON((103.680031151417 1.34861664856394, 103.679977191752 1.34881993830815, 103.679842013545 1.34878359278806, 103.679895973215 1.34858030305621, 103.680031151417 1.34861664856394))",6PH58MXH+FXM5
1.3507125,103.69839028,51.0735,0.8461,"POLYGON((103.698426467808 1.350683646356, 103.698427634692 1.35073981195197, 103.698354101324 1.35074135945281, 103.698352934442 1.35068519385846, 103.698426467808 1.350683646356))",6PH59M2X+79JF
1.35167716,103.68945792,98.5243,0.8697,"POLYGON((103.689501820891 1.35166121520466, 103.689486245452 1.35167638653183, 103.689514531858 1.35170580253996, 103.689473507396 1.35174576260297, 103.689395800366 1.35166495238186, 103.689452400264 1.35160982099308, 103.689501820891 1.35166121520466))",6PH59M2Q+MQG4
1.33983686,103.68153688,61.3256,0.8436,"POLYGON((103.681593936878 1.33981994522809, 103.681589519315 1.3398647304476, 103.681479822111 1.33985376977303, 103.681484239676 1.33980898455558, 103.681593936878 1.33981994522809))",6PH58MQJ+WJMC
1.34088006,103.69046768,79.3592,0.6874,"POLYGON((103.690522917228 1.34090494467808, 103.690418979129 1.34091622974193, 103.690412434556 1.34085517136856, 103.690516372652 1.34084388630247, 103.690522917228 1.34090494467808))",6PH58MRR+9549
1.34212923,103.68926697,15.4472,0.7328,"POLYGON((103.689310611542 1.34213054716002, 103.689225267705 1.34214225157379, 103.689223321363 1.34212787569408, 103.689308665199 1.34211617127993, 103.689310611542 1.34213054716002))",6PH58MRQ+VP24
1.33940084,103.69670389,130.7394,0.7891,"POLYGON((103.696774473515 1.3393876388356, 103.696718604038 1.33947419480225, 103.696667870089 1.33944102293216, 103.696672716686 1.33943351432677, 103.69663417704 1.33940831557564, 103.69668519992 1.33932926821741, 103.696774473515 1.3393876388356))",6PH58MQW+QM84
1.34824902,103.68146192,74.1337,0.6947,"POLYGON((103.681545591431 1.34827700777059, 103.681528545425 1.34830714497635, 103.681378247434 1.34822103303706, 103.681395293439 1.34819089583553, 103.681545591431 1.34827700777059))",6PH58MXJ+7HWX
1.34525277,103.68328122,1160.848,0.9221,"POLYGON((103.683464535998 1.34514348118055, 103.683399181856 1.34545399630781, 103.683284811908 1.34542961292187, 103.683294037792 1.34538577828464, 103.683090176061 1.34534231546538, 103.683146304338 1.34507563501924, 103.683464535998 1.34514348118055))",6PH58MWM+4825
1.35221196,103.68210934,66.315,0.7916,"POLYGON((103.682175551967 1.35223846813123, 103.682151876562 1.35226950269144, 103.682043120919 1.35218546140704, 103.682066796324 1.35215442684675, 103.682175551967 1.35223846813123))",6PH59M2J+VRQF
1.33972973,103.69647157,20.611,0.6682,"POLYGON((103.696500574757 1.33972670060899, 103.696480982694 1.33975749781326, 103.69644258266 1.33973275243751, 103.696462174723 1.33970195523368, 103.696500574757 1.33972670060899))",6PH58MQW+VHX2
1.3530388,103.69733121,133.5639,0.8735,"POLYGON((103.697410235456 1.35303454513066, 103.697294129199 1.35310916159782, 103.697252186627 1.35304305195998, 103.697368292878 1.35296843549329, 103.697410235456 1.35303454513066))",6PH59M3W+6W8G
1.34674056,103.69527949,57.7024,0.6512,"POLYGON((103.695295093067 1.34668448429969, 103.69530683371 1.34679188955774, 103.695263890731 1.34679664454602, 103.69525215009 1.34668923928925, 103.695295093067 1.34668448429969))",6PH58MWW+M4RQ
1.35096864,103.68357173,152.064,0.8837,"POLYGON((103.683627454127 1.35091254279868, 103.683616614944 1.3510338418468, 103.683516009889 1.35102473540538, 103.683526849077 1.35090343636271, 103.683627454127 1.35091254279868))",6PH59M2M+9CPM
1.35323564,103.68575264,172.4108,0.7961,"POLYGON((103.685830206775 1.35323998559397, 103.685809808504 1.35326276313093, 103.685823230304 1.35327493861056, 103.685780097886 1.35332310201554, 103.685667304177 1.35322078209335, 103.685730834861 1.35314984115572, 103.685830206775 1.35323998559397))",6PH59M3P+78RC
1.34097322,103.67973361,272.7995,0.7878,"POLYGON((103.679775234648 1.34086093133667, 103.67979348386 1.3410768128251, 103.679691989136 1.34108550372894, 103.679673739935 1.34086962224855, 103.679775234648 1.34086093133667))",6PH58MRH+9VQV
1.3498374,103.6859749,53.8512,0.6797,"POLYGON((103.685968475433 1.34977383976351, 103.686014233417 1.34988754117135, 103.685981317547 1.34990095943293, 103.685935559566 1.34978725802578, 103.685968475433 1.34977383976351))",6PH58MXP+W9QC
1.34399341,103.68541384,46.6431,0.752,"POLYGON((103.685432279641 1.34394948314006, 103.685440135209 1.3440330888822, 103.685395401696 1.34403734649754, 103.685387546129 1.34395374075664, 103.685432279641 1.34394948314006))",6PH58MVP+H5VJ
1.34600253,103.69790295,12.0625,0.6504,"POLYGON((103.69790720373 1.34597078272462, 103.697914313083 1.34603245418796, 103.697898699779 1.34603427737768, 103.697891590427 1.34597260591465, 103.69790720373 1.34597078272462))",6PH58MWX+C525
1.34121205,103.69177019,216.5583,0.9243,"POLYGON((103.691863452987 1.34117284826987, 103.691754580802 1.34131255072946, 103.691676939784 1.34125125966475, 103.691785811964 1.34111155720971, 103.691863452987 1.34117284826987))",6PH58MRR+FPJG
